Date,Close/Last,Volume,Open,High,Low
12/19/2023,$196.94,40714050,$196.16,$196.95,$195.89
12/18/2023,$195.89,55751860,$196.09,$196.63,$194.39
12/15/2023,$197.57,128538400,$197.53,$198.3999,$197.00
12/14/2023,$198.11,66831570,$198.02,$199.62,$196.16
12/13/2023,$197.96,70404180,$195.09,$198.00,$194.85
12/12/2023,$194.71,52696900,$193.08,$194.72,$191.721
12/11/2023,$193.18,60943700,$193.11,$193.49,$191.42
12/08/2023,$195.71,53406360,$194.20,$195.99,$193.67
12/07/2023,$194.27,47477660,$193.63,$195.00,$193.59
12/06/2023,$192.32,41089740,$194.45,$194.76,$192.11
12/05/2023,$193.42,66628400,$190.21,$194.40,$190.18
12/04/2023,$189.43,43389520,$189.98,$190.05,$187.4511
12/01/2023,$191.24,45704820,$190.33,$191.56,$189.23
11/30/2023,$189.95,48794370,$189.84,$190.32,$188.19
11/29/2023,$189.37,43014220,$190.90,$192.09,$188.97
11/28/2023,$190.40,38415420,$189.78,$191.08,$189.40
11/27/2023,$189.79,40552610,$189.92,$190.67,$188.90
11/24/2023,$189.97,24048340,$190.87,$190.90,$189.25
11/22/2023,$191.31,39630010,$191.49,$192.93,$190.825
11/21/2023,$190.64,38134490,$191.41,$191.52,$189.74
11/20/2023,$191.45,46538610,$189.89,$191.905,$189.88
11/17/2023,$189.69,50941400,$190.25,$190.38,$188.57
11/16/2023,$189.71,54412920,$189.57,$190.96,$188.65
11/15/2023,$188.01,53790500,$187.845,$189.50,$187.78
11/14/2023,$187.44,60108380,$187.70,$188.11,$186.30
11/13/2023,$184.80,43627520,$185.82,$186.03,$184.21
11/10/2023,$186.40,66177920,$183.97,$186.565,$183.53
11/09/2023,$182.41,53763540,$182.96,$184.12,$181.81
11/08/2023,$182.89,49340280,$182.35,$183.45,$181.59
11/07/2023,$181.82,70529970,$179.18,$182.44,$178.97
11/06/2023,$179.23,63841310,$176.38,$179.43,$176.21
11/03/2023,$176.65,79829250,$174.24,$176.82,$173.35
11/02/2023,$177.57,77334750,$175.52,$177.78,$175.46
11/01/2023,$173.97,56934910,$171.00,$174.23,$170.12
10/31/2023,$170.77,44846020,$169.35,$170.90,$167.90
10/30/2023,$170.29,51130960,$169.02,$171.17,$168.87
10/27/2023,$168.22,58499130,$166.91,$168.96,$166.83
10/26/2023,$166.89,70625260,$170.37,$171.3775,$165.67
10/25/2023,$171.10,57156960,$171.88,$173.06,$170.65
10/24/2023,$173.44,43816640,$173.05,$173.67,$171.45
10/23/2023,$173.00,55980110,$170.91,$174.01,$169.93
10/20/2023,$172.88,64244030,$175.31,$175.42,$172.64
10/19/2023,$175.46,59302860,$176.04,$177.84,$175.19
10/18/2023,$175.84,54764380,$175.58,$177.575,$175.11
10/17/2023,$177.15,57549350,$176.645,$178.42,$174.80
10/16/2023,$178.72,52516980,$176.75,$179.075,$176.51
10/13/2023,$178.85,51456080,$181.42,$181.93,$178.14
10/12/2023,$180.71,56743120,$180.07,$182.34,$179.04
10/11/2023,$179.80,47551100,$178.20,$179.85,$177.60
10/10/2023,$178.39,43698020,$178.10,$179.72,$177.95
10/09/2023,$178.99,42390770,$176.81,$179.05,$175.80
10/06/2023,$177.49,57266680,$173.80,$177.99,$173.18
10/05/2023,$174.91,48527920,$173.79,$175.45,$172.68
10/04/2023,$173.66,53020290,$171.09,$174.21,$170.97
10/03/2023,$172.40,49594610,$172.255,$173.63,$170.82
10/02/2023,$173.75,52164540,$171.22,$174.30,$170.93
09/29/2023,$171.21,51861080,$172.02,$173.07,$170.341
09/28/2023,$170.69,56294420,$169.34,$172.03,$167.62
09/27/2023,$170.43,66921810,$172.62,$173.04,$169.05
09/26/2023,$171.96,64588950,$174.82,$175.20,$171.66
09/25/2023,$176.08,46172740,$174.20,$176.97,$174.15
09/22/2023,$174.79,56725390,$174.67,$177.079,$174.05
09/21/2023,$173.93,63149120,$174.55,$176.30,$173.86
09/20/2023,$175.49,58436180,$179.26,$179.695,$175.40
09/19/2023,$179.07,51826940,$177.52,$179.63,$177.13
09/18/2023,$177.97,67257570,$176.48,$179.38,$176.17
09/15/2023,$175.01,109259500,$176.48,$176.495,$173.82
09/14/2023,$175.74,60895760,$174.00,$176.10,$173.58
09/13/2023,$174.21,84267930,$176.51,$177.30,$173.98
09/12/2023,$176.30,90370190,$179.49,$180.13,$174.82
09/11/2023,$179.36,58953050,$180.07,$180.30,$177.34
09/08/2023,$178.18,65602070,$178.35,$180.239,$177.79
09/07/2023,$177.56,112488800,$175.18,$178.21,$173.54
09/06/2023,$182.91,81755820,$188.40,$188.85,$181.47
09/05/2023,$189.70,45280030,$188.28,$189.98,$187.61
